30F33A	+plugg srl
0012E9	Abbey Systems Ltd
0013DD	Abbott Diagnostics
C0A26D	Abbott Point of Care
20635F	Abeeway
00305E	Abelko Innovation
000610	Abeona Networks Inc
001543	Aberdeen Test Center
08B4CF	Abicom International
F436E1	Abilis Systems SARL
20ED74	Ability enterprise co.,Ltd.
00C0EF	Abit Corporation
00260E	Ablaze Systems, LLC
844F03	Ablelink Electronics Ltd
000F7E	Ablerex Electronics Co., LTD
60CDA9	Abloomy
00120E	Abocom
50A715	Aboundi, Inc.
00C0F8	About Computing Inc.
000D08	AboveCable, Inc.
1407E0	Abrantix AG
1CC586	Absolute Acoustics
24BBC1	Absolute Analysis
000584	AbsoluteValue Systems, Inc.
0026FC	AcSiP Technology Corp.
7CB25C	Acacia Communications
001396	Acbel Polytech Inc.
0006F3	AcceLight Networks
0015AD	Accedian Networks
0024FD	Accedian Networks Inc
001F81	Accel Semiconductor Corp
34074F	AccelStor, Inc.
000434	Accelent Systems, Inc.
002704	Accelerated Concepts, Inc
6C2E33	Accelink Technologies Co.,Ltd.
0006BF	Accella Technologies Co., Ltd.
001766	Accense Technology, Inc.
DC1EA3	Accensus LLC
000807	Access Devices Limited
000313	Access Media SPA
001F2A	Accm
0019F6	Acconet (PTE) Ltd
0040E9	Accord Systems, Inc.
BC3E13	Accordance Systems Inc.
000260	Accordion Networks, Inc.
0014A0	Accsense, Inc.
0004E3	Accton Technology Corp
0000E8	Accton Technology Corporation
000E13	Accu-Sort Systems inc.
1C3A4F	AccuSpec Electronics, LLC
ECC38A	Accuenergy (CANADA) Inc
9C1FDD	Accupix Inc.
000F36	Accurate Techhnologies, Inc.
000612	Accusys, Inc.
0018ED	Accutech Ultrasystems Co., Ltd.
98E165	Accutome
909F43	Accutron Instruments Inc.
0017AD	AceNet Corporation
001847	AceNet Technology Inc.
0005B4	Aceex Corporation
D4C766	Acentic GmbH
0000E2	Acer Counterpoint
C09879	Acer Inc.
000124	Acer Incorporated
006067	Acer Lan
00D11C	Acetel
001D24	Aclara Power-Line Systems Inc.
00192B	Aclara RF Systems Inc.
6C5779	Aclima, Inc.
000825	Acme Packet
000371	Acomz Networks Corp.
0000A4	Acorn
000875	Acorp Electronics Corp.
0C1A10	Acoustic Stream
00057F	Acqis Technology
0002D5	Acr
7CC8AB	Acro Associates, Inc.
0014EC	Acro Telecom
0001C3	Acromag, Inc.
04E662	Acroname Inc.
0004FF	Acronet Co., Ltd.
0002B6	Acrosser Technology Co., Ltd.
000447	Acrowave Systems Co., Ltd.
68B8D9	Act KDE, Inc.
000BE9	Actel Corporation
000385	Actelis Networks, Inc.
000711	Acterna
001002	Actia
38A95F	Actifio Inc
F03D29	Actility
50A054	Actineon
00079F	Action Digital Inc.
0009B9	Action Imaging Solutions
00249B	Action Star Enterprise Co., Ltd.
705EAA	Action Target, Inc.
001B03	Action Technology (SZ) Co., Ltd
A04025	Actioncable, Inc.
D0C0BF	Actions Microelectronics Co., Ltd
